,Year.Month,Month.Number,Year,Month,Cotagecheese.Prod,Icecream.Prod,Milk.Prod,N.CA.Fat.Price
1,2001.01,1,2001,Jan,4.37,51.595,2.112,0.9803
2,2001.02,2,2001,Feb,3.695,56.086,1.932,0.8924
3,2001.03,3,2001,Mar,4.538,68.453,2.162,0.8924
4,2001.04,4,2001,Apr,4.28,65.722,2.13,0.8967
5,2001.05,5,2001,May,4.47,73.73,2.227,0.8967
6,2001.06,6,2001,June,4.238,77.994,2.124,0.916
7,2001.07,7,2001,July,4.377,81.475,2.184,0.916
8,2001.08,8,2001,Aug,4.368,74.981,2.152,0.8934
9,2001.09,9,2001,Sept,3.917,61.53,2.062,0.8934
10,2001.1,10,2001,Oct,4.078,60.022,2.121,0.9434
11,2001.11,11,2001,Nov,3.611,52.772,2.03,0.9434
12,2001.12,12,2001,Dec,3.591,50.85,2.091,1.0811
13,2002.01,1,2002,Jan,3.698,53.116,2.109,1.0811
14,2002.02,2,2002,Feb,3.429,57.463,1.996,1.1022
15,2002.03,3,2002,Mar,3.717,68.929,2.173,1.1022
16,2002.04,4,2002,Apr,3.688,69.673,2.163,1.048
17,2002.05,5,2002,May,3.897,77.387,2.233,1.048
18,2002.06,6,2002,June,3.756,86.814,2.142,1.073
19,2002.07,7,2002,July,4.099,83.006,2.182,1.073
20,2002.08,8,2002,Aug,3.979,79.26,2.129,1.2333
21,2002.09,9,2002,Sept,3.73,69.216,2.138,1.2333
22,2002.1,10,2002,Oct,4.214,64.556,2.215,1.372
23,2002.11,11,2002,Nov,4.418,54.378,2.156,1.372
24,2002.12,12,2002,Dec,3.323,53.291,2.212,1.3974
25,2003.01,1,2003,Jan,3.761,55.565,2.177,1.3974
26,2003.02,2,2003,Feb,3.404,58.962,2.028,1.0004
27,2003.03,3,2003,Mar,3.552,72.866,2.361,1.0004
28,2003.04,4,2003,Apr,3.489,74.965,2.358,1.0004
29,2003.05,5,2003,May,3.398,75.425,2.417,1.0004
30,2003.06,6,2003,June,3.67,85.133,2.314,1.0247
31,2003.07,7,2003,July,3.697,83.144,2.386,1.0247
32,2003.08,8,2003,Aug,3.633,75.258,2.366,0.9407
33,2003.09,9,2003,Sept,3.433,70.23,2.258,0.9407
34,2003.1,10,2003,Oct,3.313,61.385,2.351,1.1614
35,2003.11,11,2003,Nov,2.982,53.516,2.263,1.1614
36,2003.12,12,2003,Dec,2.947,55.289,2.303,1.2054
37,2004.01,1,2004,Jan,3.069,51.239,2.341,1.2054
38,2004.02,2,2004,Feb,2.519,61.373,2.081,1.2463
39,2004.03,3,2004,Mar,3.015,73.202,2.344,1.2463
40,2004.04,4,2004,Apr,2.971,72.327,2.314,1.2435
41,2004.05,5,2004,May,2.876,74.358,2.432,1.2435
42,2004.06,6,2004,June,2.853,86.093,2.317,1.0849
43,2004.07,7,2004,July,3.098,85.398,2.309,1.0849
44,2004.08,8,2004,Aug,3.007,80.306,2.271,1.3208
45,2004.09,9,2004,Sept,2.843,70.906,2.185,1.3208
46,2004.1,10,2004,Oct,2.909,59.909,2.363,1.5216
47,2004.11,11,2004,Nov,2.931,55.138,2.283,1.5216
48,2004.12,12,2004,Dec,2.597,55.748,2.38,1.7015
49,2005.01,1,2005,Jan,2.628,54.842,2.439,1.7015
50,2005.02,2,2005,Feb,2.496,62.058,2.245,1.7723
51,2005.03,3,2005,Mar,3.093,76.594,2.605,1.7723
52,2005.04,4,2005,Apr,2.801,75.76,2.575,1.1089
53,2005.05,5,2005,May,2.702,77.564,2.659,1.1089
54,2005.06,6,2005,June,2.813,86.014,2.503,1.1261
55,2005.07,7,2005,July,2.853,82.94,2.51,1.1261
56,2005.08,8,2005,Aug,3.018,82.679,2.602,1.1817
57,2005.09,9,2005,Sept,2.85,66.571,2.517,1.1817
58,2005.1,10,2005,Oct,2.692,59.571,2.605,1.7391
59,2005.11,11,2005,Nov,2.437,57.466,2.542,1.7391
60,2005.12,12,2005,Dec,2.363,53.597,2.642,1.1729
61,2006.01,1,2006,Jan,2.574,58.263,2.71,1.1136
62,2006.02,2,2006,Feb,2.409,60.9,2.558,0.9186
63,2006.03,3,2006,Mar,2.875,74.14,2.741,0.9109
64,2006.04,4,2006,Apr,2.46,72.652,2.733,1.053
65,2006.05,5,2006,May,2.667,76.877,2.797,1.1995
66,2006.06,6,2006,June,2.644,85.091,2.673,1.2647
67,2006.07,7,2006,July,2.514,82.104,2.783,1.4885
68,2006.08,8,2006,Aug,2.767,82.661,2.68,1.3285
69,2006.09,9,2006,Sept,2.572,65.038,2.597,1.2965
70,2006.1,10,2006,Oct,2.675,62.875,2.684,1.2966
71,2006.11,11,2006,Nov,2.526,54.745,2.586,1.2685
72,2006.12,12,2006,Dec,2.318,47.127,2.703,1.5043
73,2007.01,1,2007,Jan,2.507,56.419,2.751,2.01
74,2007.02,2,2007,Feb,2.535,62.337,2.529,1.28
75,2007.03,3,2007,Mar,2.514,68.258,2.81,1.461
76,2007.04,4,2007,Apr,2.742,74.011,2.788,1.6835
77,2007.05,5,2007,May,2.961,79.862,2.885,1.896
78,2007.06,6,2007,June,2.865,85.562,2.783,2.105
79,2007.07,7,2007,July,2.939,86.931,2.816,2.2002
80,2007.08,8,2007,Aug,3.002,77.49,2.817,2.2416
81,2007.09,9,2007,Sept,2.804,67.962,2.707,2.268
82,2007.1,10,2007,Oct,2.855,62.395,2.804,2.5285
83,2007.11,11,2007,Nov,2.38,50.905,2.718,1.8415
84,2007.12,12,2007,Dec,2.461,53.106,2.809,1.431
85,2008.01,1,2008,Jan,2.641,60.822,2.85,1.425
86,2008.02,2,2008,Feb,2.462,64.592,2.646,1.498
87,2008.03,3,2008,Mar,2.586,73.945,2.997,1.395
88,2008.04,4,2008,Apr,2.587,77.569,2.948,1.392
89,2008.05,5,2008,May,2.758,81.294,3.087,1.329
90,2008.06,6,2008,June,2.673,86.244,2.979,1.1654
91,2008.07,7,2008,July,2.738,86.596,2.998,1.1792
92,2008.08,8,2008,Aug,2.838,77.673,3.006,1.1237
93,2008.09,9,2008,Sept,2.72,68.668,2.834,1.1234
94,2008.1,10,2008,Oct,2.788,67.552,2.945,1.0202
95,2008.11,11,2008,Nov,2.834,54.669,2.824,1.0772
96,2008.12,12,2008,Dec,2.565,54.455,2.951,1.1072
97,2009.01,1,2009,Jan,2.534,60.779,2.993,1.2165
98,2009.02,2,2009,Feb,2.452,67.236,2.774,1.2292
99,2009.03,3,2009,Mar,2.916,78.355,3.11,1.1525
100,2009.04,4,2009,Apr,2.65,81.5,3.033,1.1692
101,2009.05,5,2009,May,2.808,80.676,3.092,1.1929
102,2009.06,6,2009,June,2.823,89.052,2.972,1.1897
103,2009.07,7,2009,July,3.023,86.776,2.966,1.2052
104,2009.08,8,2009,Aug,2.848,77.139,2.971,1.2531
105,2009.09,9,2009,Sept,2.922,72.886,2.831,1.3447
106,2009.1,10,2009,Oct,2.874,64.913,2.921,1.2577
107,2009.11,11,2009,Nov,2.625,51.466,2.821,1.3034
108,2009.12,12,2009,Dec,2.772,55.504,2.953,1.3167
109,2010.01,1,2010,Jan,2.611,60.51,2.994,1.3887
110,2010.02,2,2010,Feb,2.533,64.807,2.858,1.5003
111,2010.03,3,2010,Mar,3.163,77.146,3.104,1.7705
112,2010.04,4,2010,Apr,2.92,77.889,3.072,2.3132
113,2010.05,5,2010,May,2.754,77.391,3.148,2.3887
114,2010.06,6,2010,June,3.104,90.472,3.026,2.4605
115,2010.07,7,2010,July,2.95,87.15,3.078,2.1167
116,2010.08,8,2010,Aug,2.993,82.229,3.076,2.1345
117,2010.09,9,2010,Sept,2.874,72.581,2.979,1.7929
118,2010.1,10,2010,Oct,2.942,62.312,3.08,1.9187
119,2010.11,11,2010,Nov,2.734,59.077,2.96,1.9717
120,2010.12,12,2010,Dec,2.487,56.874,3.09,1.9099
121,2011.01,1,2011,Jan,2.821,61.187,3.078,2.2367
122,2011.02,2,2011,Feb,2.793,70.834,2.848,1.7667
123,2011.03,3,2011,Mar,2.972,83.151,3.226,1.807
124,2011.04,4,2011,Apr,2.708,80.169,3.188,1.7313
125,2011.05,5,2011,May,2.95,84.102,3.292,1.7527
126,2011.06,6,2011,June,3.036,88.184,3.182,1.5437
127,2011.07,7,2011,July,2.659,83.695,3.126,1.6052
128,2011.08,8,2011,Aug,2.994,80.309,3.157,1.9011
129,2011.09,9,2011,Sept,2.745,68.791,3.084,1.8605
130,2011.1,10,2011,Oct,2.785,70.63,3.151,1.9247
131,2011.11,11,2011,Nov,2.603,57.228,3.053,1.8649
132,2011.12,12,2011,Dec,2.43,53.824,3.179,1.6802
133,2012.01,1,2012,Jan,2.571,67.522,3.241,1.5417
134,2012.02,2,2012,Feb,2.502,67.686,3.042,1.5382
135,2012.03,3,2012,Mar,2.658,77.21,3.428,1.3735
136,2012.04,4,2012,Apr,2.555,78.595,3.309,1.2961
137,2012.05,5,2012,May,3.024,80.606,3.383,1.2745
138,2012.06,6,2012,June,2.565,84.793,3.206,1.3
139,2012.07,7,2012,July,2.951,82.154,3.122,1.2933
140,2012.08,8,2012,Aug,2.836,79.953,3.292,1.2667
141,2012.09,9,2012,Sept,2.513,70.26,3.147,1.3873
142,2012.1,10,2012,Oct,2.777,67.701,3.227,1.503
143,2012.11,11,2012,Nov,2.481,59.216,3.136,1.4567
144,2012.12,12,2012,Dec,2.257,54.59,3.297,1.4236
145,2013.01,1,2013,Jan,2.658,70.189,3.369,1.3914
146,2013.02,2,2013,Feb,2.323,69.71,3.15,1.3002
147,2013.03,3,2013,Mar,2.572,76.055,3.553,1.3412
148,2013.04,4,2013,Apr,2.595,80.911,3.449,1.4122
149,2013.05,5,2013,May,2.743,78.275,3.477,1.4626
150,2013.06,6,2013,June,2.468,81.322,3.341,1.5815
151,2013.07,7,2013,July,2.881,83.614,3.45,1.7051
152,2013.08,8,2013,Aug,2.71,78.457,3.456,1.6344
153,2013.09,9,2013,Sept,2.649,70.449,3.252,1.66
154,2013.1,10,2013,Oct,2.821,71.2,3.415,1.5684
155,2013.11,11,2013,Nov,2.227,57.893,3.312,1.4375
156,2013.12,12,2013,Dec,2.439,54.413,3.459,1.449
157,2014.01,1,2014,Jan,2.641,69.008,3.492,1.4645
158,2014.02,2,2014,Feb,2.477,69.967,3.33,1.3452
159,2014.03,3,2014,Mar,2.5,74.936,3.638,1.3252
160,2014.04,4,2014,Apr,2.598,80.988,3.515,1.3948
161,2014.05,5,2014,May,2.622,80.207,3.583,1.4999
162,2014.06,6,2014,June,2.641,84.551,3.417,1.5894
163,2014.07,7,2014,July,2.794,83.579,3.417,1.6368
164,2014.08,8,2014,Aug,2.557,76.614,3.397,1.7086
165,2014.09,9,2014,Sept,2.72,72.712,3.275,1.7776
166,2014.1,10,2014,Oct,2.806,69.345,3.386,1.8296
167,2014.11,11,2014,Nov,2.409,58.552,3.312,1.9342
168,2014.12,12,2014,Dec,2.523,54.955,3.441,1.8733
169,2015.01,1,2015,Jan,2.542,60.122,3.453,1.3949
170,2015.02,2,2015,Feb,2.512,64.406,3.139,1.1952
171,2015.03,3,2015,Mar,3.044,78.6,3.505,1.1632
172,2015.04,4,2015,Apr,2.646,77.034,3.433,1.2335
173,2015.05,5,2015,May,2.586,74.477,3.512,1.2666
174,2015.06,6,2015,June,2.733,85.427,3.283,1.3198
175,2015.07,7,2015,July,2.811,78.088,3.249,1.3482
176,2015.08,8,2015,Aug,2.785,73.867,3.243,1.278
177,2015.09,9,2015,Sept,2.627,71.086,3.069,1.3319
178,2015.1,10,2015,Oct,2.581,68.319,3.207,1.246
179,2015.11,11,2015,Nov,2.373,59.305,3.133,1.3308
180,2015.12,12,2015,Dec,2.283,55.364,3.286,1.5457
181,2016.01,1,2016,Jan,2.508,62.344,3.37,1.6077
182,2016.02,2,2016,Feb,2.471,66.218,3.089,1.4421
183,2016.03,3,2016,Mar,2.758,79.505,3.481,1.4592
184,2016.04,4,2016,Apr,2.544,78.544,3.431,1.5766
185,2016.05,5,2016,May,2.568,79.1,3.545,1.6354
186,2016.06,6,2016,June,2.903,92.306,3.394,1.7633
187,2016.07,7,2016,July,2.492,88.03,3.401,1.7275
188,2016.08,8,2016,Aug,2.965,90.306,3.401,1.9358
189,2016.09,9,2016,Sept,2.691,73.551,3.294,2.0437
190,2016.1,10,2016,Oct,2.448,70.633,3.346,2.495
191,2016.11,11,2016,Nov,2.597,61.963,3.266,2.4996
192,2016.12,12,2016,Dec,2.283,55.48,3.367,2.3712
193,2017.01,1,2017,Jan,2.546,66.918,3.39,1.744
194,2017.02,2,2017,Feb,2.535,68.038,3.161,1.978
195,2017.03,3,2017,Mar,2.72,84.334,3.59,2.3622
196,2017.04,4,2017,Apr,2.296,81.173,3.519,2.3582
197,2017.05,5,2017,May,2.771,85.391,3.675,2.2414
198,2017.06,6,2017,June,3.558,93.01,3.511,2.3164
199,2017.07,7,2017,July,2.79,89.326,3.535,2.4143
200,2017.08,8,2017,Aug,3.429,89.949,3.502,2.2816
201,2017.09,9,2017,Sept,2.328,76.134,3.312,2.3504
202,2017.1,10,2017,Oct,2.73,67.334,3.428,2.2768
203,2017.11,11,2017,Nov,2.508,60.303,3.343,1.9583
204,2017.12,12,2017,Dec,2.151,52.829,3.496,2.0555
205,2018.01,1,2018,Jan,2.493,69.463,3.617,1.816
206,2018.02,2,2018,Feb,2.218,67.259,3.506,1.7706
207,2018.03,3,2018,Mar,2.788,78.959,3.804,1.623
208,2018.04,4,2018,Apr,2.602,82.236,3.632,1.5646
209,2018.05,5,2018,May,2.602,87.093,3.744,1.601
210,2018.06,6,2018,June,2.816,88.012,3.523,1.4395
211,2018.07,7,2018,July,2.893,85.4,3.498,1.5269
212,2018.08,8,2018,Aug,3.044,80.328,3.304,1.6762
213,2018.09,9,2018,Sept,2.924,71.003,3.184,1.8704
214,2018.1,10,2018,Oct,2.641,70.84,3.307,2.0578
215,2018.11,11,2018,Nov,2.347,56.506,3.264,2.1644
216,2018.12,12,2018,Dec,2.455,53.87,3.418,2.107
217,2019.01,1,2019,Jan,2.282,62.612,3.462,1.7744
218,2019.02,2,2019,Feb,1.941,66.274,3.231,1.6224
219,2019.03,3,2019,March,2.15,75.77,3.676,1.6968
220,2019.04,4,2019,April,2.217,76.396,3.622,1.7444
221,2019.05,5,2019,May,2.341,80.899,3.72,1.8552
222,2019.06,6,2019,June,2.694,92.091,3.489,1.8314
223,2019.07,7,2019,July,2.433,84.026,3.373,1.6923
224,2019.08,8,2019,Aug,2.169,78.382,3.4,1.6273
225,2019.09,9,2019,Sept,2.193,74.871,3.197,1.5519
226,2019.1,10,2019,Oct,2.284,70.011,3.338,1.5566
227,2019.11,11,2019,Nov,1.865,61.394,3.275,1.7537
228,2019.12,12,2019,Dec,2.345,53.653,3.473,1.6747